,Local Gov Name,Local Gov Logo,Atlas Admin Link
1453,Arapahoe County Colorado,https://drive.google.com/file/d/1cS2KG2qLq6xPIgtLJOpqTnSHoPYz1zu-/view?usp=sharing,https://the-atlas.com/admin/affiliations/1453/edit
953,"Association of Environmental Authorities, NJ",https://drive.google.com/file/d/13yFQM_bq0tCM2PSpOzVZAMizPax52B8G/view?usp=sharing,https://the-atlas.com/admin/affiliations/953/edit
801,Athens-Clarke County,https://drive.google.com/file/d/1xniFGoBwBYwFS5cZM6PYCC7p4x_JZMR5/view?usp=sharing,https://the-atlas.com/admin/affiliations/801/edit
954,Athens-Clarke County Unified Government,https://drive.google.com/file/d/1xniFGoBwBYwFS5cZM6PYCC7p4x_JZMR5/view?usp=sharing,https://the-atlas.com/admin/affiliations/954/edit
268,"Atlantic County Utilities Authority, NJ",https://drive.google.com/file/d/1k_wHhZgmFqzxxkL5xQT8RKRG53WHuYe8/view?usp=sharing,https://the-atlas.com/admin/affiliations/268/edit
955,"Augusta-Richmond County, GA",https://drive.google.com/file/d/1EP55mw8BdkoJ2LHY6zbYrRoAPjV2VcXw/view?usp=sharing,https://the-atlas.com/admin/affiliations/955/edit
110,"Aurora Water, Colorado",https://drive.google.com/file/d/1iq9Ga1rcMy4atrpaxPrKZPBFmwVXLj5b/view?usp=sharing,https://the-atlas.com/admin/affiliations/110/edit
1678,Austin Water,https://drive.google.com/file/d/1_t24FdsYyItMd26V2KX81m5VY4Y5_Ee0/view?usp=sharing,https://the-atlas.com/admin/affiliations/1678/edit
1608,Barnes County,https://drive.google.com/file/d/1LSQDqIGOiXtnUwugmkxwV_y-VZsBiO83/view?usp=sharing,https://the-atlas.com/admin/affiliations/1608/edit
956,"Barry County, MI",https://drive.google.com/file/d/1ofVmK2l2t7dNCEO8fDbtbC-uydHM45v4/view?usp=sharing,https://the-atlas.com/admin/affiliations/956/edit
957,"Barton County, KS",Couldn't find,https://the-atlas.com/admin/affiliations/957/edit
411,Barton Springs Edwards Aquifer Conservation District,https://drive.google.com/file/d/1ppYM17wbthMtduCToCnexiTBlsanEe8k/view?usp=sharing,https://the-atlas.com/admin/affiliations/411/edit
412,Bay Area Water Supply and Conservation Agency,https://drive.google.com/file/d/1v8UhIjoEtDpCbKYgfuzeJyVGjtLqqPTg/view?usp=sharing,https://the-atlas.com/admin/affiliations/412/edit
958,"Beaufort County, SC",https://drive.google.com/file/d/1Vb0H-ahnagTTOv_VOZLRnEnKLDnE4dhc/view?usp=sharing,https://the-atlas.com/admin/affiliations/958/edit
19,TestAffiliation,,https://the-atlas.com/admin/affiliations/19/edit
413,Beaumont - Cherry Valley Water District,https://drive.google.com/file/d/120L_vcePsOx1MFb0Z74_5EeRxNpym0UU/view?usp=sharing,https://the-atlas.com/admin/affiliations/413/edit
1843,"Bedford, NH",https://drive.google.com/file/d/1lMahw7rOW20NHfEu0UdoafCuCBlK_g5B/view?usp=sharing,https://the-atlas.com/admin/affiliations/1843/edit
1679,Bellyache Ridge Metro District,Couldnt find,https://the-atlas.com/admin/affiliations/1679/edit
959,Bergen County Utilities Authority,https://drive.google.com/file/d/1DtEaDeKXE3YgVTCEjVNkpKJ9FpGFI7ns/view?usp=sharing,https://the-atlas.com/admin/affiliations/959/edit
843,Bexar County Hospital District,Couldnt find,https://the-atlas.com/admin/affiliations/843/edit
1680,"Boca Raton, FL",https://drive.google.com/file/d/1aR1FtexzuudexntdQuGU9RhD4GpzZPwg/view?usp=sharing,https://the-atlas.com/admin/affiliations/1680/edit
815,"Bolingbrook Park District, IL",https://drive.google.com/file/d/1cEAVO-KSxaj0XlvCKxw5KT8ImqlBlsLA/view?usp=sharing,https://the-atlas.com/admin/affiliations/815/edit
