,Local Gov Name,Local Gov Logo,Atlas Admin Link
432,"City of Beverly Hills, CA",,https://the-atlas.com/admin/affiliations/432/edit
994,"City of Biddeford, ME",,https://the-atlas.com/admin/affiliations/994/edit
995,"City of Birmingham, MI",,https://the-atlas.com/admin/affiliations/995/edit
996,"City of Bloomington, IL",,https://the-atlas.com/admin/affiliations/996/edit
1692,City of Bluffdale,,https://the-atlas.com/admin/affiliations/1692/edit
1693,City of Boston,,https://the-atlas.com/admin/affiliations/1693/edit
332,Istanbul,,https://the-atlas.com/admin/affiliations/332/edit
16,"City of Boston, Department of Innovation of Technology",,https://the-atlas.com/admin/affiliations/16/edit
29,"City of Boulder, CO",https://drive.google.com/file/d/1AZUb1N7Gm9cICjLMoZ1BDkKlL7AiX6UO/view?usp=sharing,https://the-atlas.com/admin/affiliations/29/edit
23,"City of Bowie, TX",,https://the-atlas.com/admin/affiliations/23/edit
997,"City of Bowling Green, KY",,https://the-atlas.com/admin/affiliations/997/edit
433,"City of Boynton Beach, FL",,https://the-atlas.com/admin/affiliations/433/edit
340,City of Hillsboro,,https://the-atlas.com/admin/affiliations/340/edit
998,"City of Brandon, MS",,https://the-atlas.com/admin/affiliations/998/edit
434,"City of Brenham, TX",,https://the-atlas.com/admin/affiliations/434/edit
999,"City of Brewer, ME",,https://the-atlas.com/admin/affiliations/999/edit
435,"City of Brighton, CO",,https://the-atlas.com/admin/affiliations/435/edit
1000,"City of Bristol, CT",,https://the-atlas.com/admin/affiliations/1000/edit
436,"City of Buena Park, CA",,https://the-atlas.com/admin/affiliations/436/edit
820,"City of Buffalo, NY",,https://the-atlas.com/admin/affiliations/820/edit
1933,"City of Bullard, TX",,
354,Wangaratta,,https://the-atlas.com/admin/affiliations/354/edit
437,"City of Burbank, CA",,https://the-atlas.com/admin/affiliations/437/edit
907,"City of Burlingame, CA",,https://the-atlas.com/admin/affiliations/907/edit
28,"City of Burlington, VT",https://drive.google.com/file/d/12Lnx5FBTKb_Emaz7UFo_vP32JJu5CJ1Y/view?usp=sharing,https://the-atlas.com/admin/affiliations/28/edit
1629,City of Burton,,https://the-atlas.com/admin/affiliations/1629/edit
438,"City of Caldwell, ID",,https://the-atlas.com/admin/affiliations/438/edit
439,"City of Canon City, CO",,https://the-atlas.com/admin/affiliations/439/edit
364,City of Greater Bendigo,,https://the-atlas.com/admin/affiliations/364/edit
260,"City of Carlsbad, CA",,https://the-atlas.com/admin/affiliations/260/edit
1694,City of Casa Grande,,https://the-atlas.com/admin/affiliations/1694/edit
440,"City of Cedar City, UT",,https://the-atlas.com/admin/affiliations/440/edit
1001,"City of Cedar Falls, IA",,https://the-atlas.com/admin/affiliations/1001/edit
1002,"City of Cedar Hill, TX",,https://the-atlas.com/admin/affiliations/1002/edit
441,"City of Cedar Hills, UT",,https://the-atlas.com/admin/affiliations/441/edit
442,"City of Cedar Park, TX",,https://the-atlas.com/admin/affiliations/442/edit
396,Giza,,https://the-atlas.com/admin/affiliations/396/edit
443,"City of Centennial, CO",,https://the-atlas.com/admin/affiliations/443/edit
1695,City of Centerville,,https://the-atlas.com/admin/affiliations/1695/edit
,,,
444,"City of Chandler, AZ",,https://the-atlas.com/admin/affiliations/444/edit
406,Boston Water and Sewer Commission,,https://the-atlas.com/admin/affiliations/406/edit
1575,City of Charleston,,https://the-atlas.com/admin/affiliations/1575/edit
908,"City of Charlotte, NC",,https://the-atlas.com/admin/affiliations/908/edit
1696,City of Cherry Hills Village,,https://the-atlas.com/admin/affiliations/1696/edit
445,"City of Cheyenne, WY",,https://the-atlas.com/admin/affiliations/445/edit
,,,
414,Buena Vista and Pocahontas County SWCDs,,https://the-atlas.com/admin/affiliations/414/edit
415,California American Water,,https://the-atlas.com/admin/affiliations/415/edit
721,"City of Chula Vista, CA",,https://the-atlas.com/admin/affiliations/721/edit
30,"City of Cincinnati, OH",https://drive.google.com/file/d/17QtCrfl1dIJTu4KkdTDXPQ6iOzpYzDio/view?usp=sharing,https://the-atlas.com/admin/affiliations/30/edit
418,City and County of Denver,,https://the-atlas.com/admin/affiliations/418/edit
1697,City of Clearfield,,https://the-atlas.com/admin/affiliations/1697/edit
342,"City of Clearwater, FL",,https://the-atlas.com/admin/affiliations/342/edit
941,"City of Cleburne, TX",,https://the-atlas.com/admin/affiliations/941/edit
25,"City of Cleveland, OH",https://drive.google.com/file/d/1MFHDMsCwKiDdAwMWSdW6JmHJCUvl0mYs/view?usp=sharing,https://the-atlas.com/admin/affiliations/25/edit
1003,"City of Clifton, NJ",,https://the-atlas.com/admin/affiliations/1003/edit
446,City of Clovis (NM),,https://the-atlas.com/admin/affiliations/446/edit
1004,"City of Colby, KS",,https://the-atlas.com/admin/affiliations/1004/edit
1005,"City of College Park, GA",,https://the-atlas.com/admin/affiliations/1005/edit
1698,"City of College Park, MD",,https://the-atlas.com/admin/affiliations/1698/edit
813,"City of College Station, TX",,https://the-atlas.com/admin/affiliations/813/edit
1624,City of Collierville,,https://the-atlas.com/admin/affiliations/1624/edit
1006,"City of Columbia, IL",,https://the-atlas.com/admin/affiliations/1006/edit
1007,"City of Columbia, SC",,https://the-atlas.com/admin/affiliations/1007/edit
404,City of Columbus,,https://the-atlas.com/admin/affiliations/404/edit
447,City of Columbus (NM),,https://the-atlas.com/admin/affiliations/447/edit
1008,"City of Columbus, MS",,https://the-atlas.com/admin/affiliations/1008/edit
391,"City of Columbus, WI",,https://the-atlas.com/admin/affiliations/391/edit
1699,City of Commerce City,,https://the-atlas.com/admin/affiliations/1699/edit
79,"City of Concord, CA",,https://the-atlas.com/admin/affiliations/79/edit
343,"City of Coppell, TX",,https://the-atlas.com/admin/affiliations/343/edit
337,"City of Coral Gables, FL",,https://the-atlas.com/admin/affiliations/337/edit
722,"City of Coronado, CA",,https://the-atlas.com/admin/affiliations/722/edit
1412,"City of Corpus Christi, TX",,https://the-atlas.com/admin/affiliations/1412/edit
448,"City of Cortez, CO",,https://the-atlas.com/admin/affiliations/448/edit
781,"City of Costa Mesa, CA",,https://the-atlas.com/admin/affiliations/781/edit
450,"City of Cottonwood Heights, UT",,https://the-atlas.com/admin/affiliations/450/edit
449,"City of Cottonwood, AZ",,https://the-atlas.com/admin/affiliations/449/edit
892,"City of Creston, IA",,https://the-atlas.com/admin/affiliations/892/edit
1009,"City of Crystal Lake, IL",,https://the-atlas.com/admin/affiliations/1009/edit
451,"City of Cudahy, CA",,https://the-atlas.com/admin/affiliations/451/edit
1010,"City of Cullman, AL",,https://the-atlas.com/admin/affiliations/1010/edit
452,"City of Culver City, CA",,https://the-atlas.com/admin/affiliations/452/edit
453,"City of Dacono, CO",,https://the-atlas.com/admin/affiliations/453/edit
1621,City of Dade City,,https://the-atlas.com/admin/affiliations/1621/edit
24,"City of Dallas, TX",,https://the-atlas.com/admin/affiliations/24/edit
773,"City of Daly City, CA",,https://the-atlas.com/admin/affiliations/773/edit
1011,"City of Danville, VA",,https://the-atlas.com/admin/affiliations/1011/edit
62,"City of Dayton, OH",https://drive.google.com/file/d/1NIkI7oLCmYMVwYwveOzZsh_Wu67n7rcO/view?usp=sharing,https://the-atlas.com/admin/affiliations/62/edit
1013,"City of Dearborn, MI",,https://the-atlas.com/admin/affiliations/1013/edit
1014,"City of Decatur, AL",,https://the-atlas.com/admin/affiliations/1014/edit
363,"City of Decatur, GA",,https://the-atlas.com/admin/affiliations/363/edit
1015,"City of Decatur, IL",,https://the-atlas.com/admin/affiliations/1015/edit
1012,"City of DeKalb, IL",,https://the-atlas.com/admin/affiliations/1012/edit
723,"City of Del Mar, CA",,https://the-atlas.com/admin/affiliations/723/edit
454,"City of Del Rio, TX",,https://the-atlas.com/admin/affiliations/454/edit
455,"City of Delano, CA",,https://the-atlas.com/admin/affiliations/455/edit
1700,City of Denton,,https://the-atlas.com/admin/affiliations/1700/edit
265,"City of Denver, CO",,https://the-atlas.com/admin/affiliations/265/edit
1016,City of Detroit Water and Sewerage Dept.,,https://the-atlas.com/admin/affiliations/1016/edit
1915,City of Diamond Bar,,https://the-atlas.com/admin/affiliations/1915/edit
1654,City of Dickinson,,https://the-atlas.com/admin/affiliations/1654/edit
1017,"City of Dixon, IL",,https://the-atlas.com/admin/affiliations/1017/edit
456,"City of Doral, FL",,https://the-atlas.com/admin/affiliations/456/edit
1018,"City of Dothan, Alabama",,https://the-atlas.com/admin/affiliations/1018/edit
1019,"City of Douglasville, GA",,https://the-atlas.com/admin/affiliations/1019/edit
1701,City of Dover,,https://the-atlas.com/admin/affiliations/1701/edit
457,"City of Dublin, CA",,https://the-atlas.com/admin/affiliations/457/edit
85,"City of Dublin, Ireland",,https://the-atlas.com/admin/affiliations/85/edit
357,"City of Dublin, Ohio",https://drive.google.com/file/d/1b-76iDa2F8r2Rjn_Syf_yycpZDYPFnqc/view?usp=sharing,https://the-atlas.com/admin/affiliations/357/edit
341,"City of Dubuque, IA",,https://the-atlas.com/admin/affiliations/341/edit
1857,City of Dunwoody,,https://the-atlas.com/admin/affiliations/1857/edit
458,"City of Duquesne, PA",,https://the-atlas.com/admin/affiliations/458/edit
459,"City of Durango, CO",,https://the-atlas.com/admin/affiliations/459/edit
909,"City of Durham, NC",,https://the-atlas.com/admin/affiliations/909/edit
1702,"City of Durham, NC",,https://the-atlas.com/admin/affiliations/1702/edit
751,"City of Eagan, MN",,https://the-atlas.com/admin/affiliations/751/edit
871,"City of Eagle Pass, TX",,https://the-atlas.com/admin/affiliations/871/edit
460,"City of East Carbon, UT",,https://the-atlas.com/admin/affiliations/460/edit
461,"City of East Orange, NJ",,https://the-atlas.com/admin/affiliations/461/edit
462,"City of East Palo Alto, CA",,https://the-atlas.com/admin/affiliations/462/edit
1020,"City of East Providence, RI",,https://the-atlas.com/admin/affiliations/1020/edit
1703,City of Easton,,https://the-atlas.com/admin/affiliations/1703/edit
463,"City of Eau Claire, WI",,https://the-atlas.com/admin/affiliations/463/edit
,,,
1021,"City of Edwardsville, IL",,https://the-atlas.com/admin/affiliations/1021/edit
1419,"City of El Campo, TX",,https://the-atlas.com/admin/affiliations/1419/edit
464,"City of El Paso de Robles, CA",,https://the-atlas.com/admin/affiliations/464/edit
266,"City of El Paso, TX",,https://the-atlas.com/admin/affiliations/266/edit
1911,City of Elgin,,https://the-atlas.com/admin/affiliations/1911/edit
1022,"City of Elmhurst, IL",,https://the-atlas.com/admin/affiliations/1022/edit
724,"City of Encinitas, CA",,https://the-atlas.com/admin/affiliations/724/edit
465,"City of Englewood, CO",https://drive.google.com/file/d/1Gx63nFTJA7Gf8Wx395VZO8JDdkHnVyGj/view?usp=sharing,https://the-atlas.com/admin/affiliations/465/edit
466,"City of Ephraim, UT",,https://the-atlas.com/admin/affiliations/466/edit
366,"City of Erie, PA",https://drive.google.com/file/d/1jhXOZi1W-2BLoDh54KeeqGhYsnm_h29R/view?usp=sharing,https://the-atlas.com/admin/affiliations/366/edit
1850,City of Escondido,,https://the-atlas.com/admin/affiliations/1850/edit
,,,
1704,City of Euless,,https://the-atlas.com/admin/affiliations/1704/edit
1705,City of Evans,,https://the-atlas.com/admin/affiliations/1705/edit
1023,"City of Evanston, IL",,https://the-atlas.com/admin/affiliations/1023/edit
467,City of Everett (WA),,https://the-atlas.com/admin/affiliations/467/edit
468,"City of Fairburn, GA",,https://the-atlas.com/admin/affiliations/468/edit
270,"City of Fairhope, AL",,https://the-atlas.com/admin/affiliations/270/edit
1550,City of Fairview,,https://the-atlas.com/admin/affiliations/1550/edit
1537,"City of Falls Church, Va.",,https://the-atlas.com/admin/affiliations/1537/edit
469,"City of Farmers Branch, TX",,https://the-atlas.com/admin/affiliations/469/edit
1024,"City of Farmington Hills, MI",,https://the-atlas.com/admin/affiliations/1024/edit
1674,City of Fayetteville AR,,https://the-atlas.com/admin/affiliations/1674/edit
1025,"City of Fayetteville, AR",,https://the-atlas.com/admin/affiliations/1025/edit
1026,"City of Fayetteville, GA",,https://the-atlas.com/admin/affiliations/1026/edit
1027,"City of Fayetteville, NC",,https://the-atlas.com/admin/affiliations/1027/edit
1645,City of Federal Way,,https://the-atlas.com/admin/affiliations/1645/edit
470,"City of Fenton, MI",,https://the-atlas.com/admin/affiliations/470/edit
369,"City of Ferndale, MI",,https://the-atlas.com/admin/affiliations/369/edit
1706,City of Fernley,,https://the-atlas.com/admin/affiliations/1706/edit
1028,"City of Fitchburg, MA",,https://the-atlas.com/admin/affiliations/1028/edit
471,"City of Flagstaff, AZ",,https://the-atlas.com/admin/affiliations/471/edit
1924,"City of Florence, Alabama",,https://the-atlas.com/admin/affiliations/1924/edit
1029,"City of Foley, AL",,https://the-atlas.com/admin/affiliations/1029/edit
845,"City of Folsom, CA",,https://the-atlas.com/admin/affiliations/845/edit
472,"City of Forest Grove, OR",,https://the-atlas.com/admin/affiliations/472/edit
473,"City of Fort Collins, Co",,https://the-atlas.com/admin/affiliations/473/edit
911,"City of Fort Lauderdale, FL",,https://the-atlas.com/admin/affiliations/911/edit
1560,City of Fort Wayne,,https://the-atlas.com/admin/affiliations/1560/edit
474,"City of Fort Worth, TX",,https://the-atlas.com/admin/affiliations/474/edit
475,"City of Fountain, CO",,https://the-atlas.com/admin/affiliations/475/edit
1501,"City of Framingham, MA",,https://the-atlas.com/admin/affiliations/1501/edit
135,"City of Franklin, Tennessee",https://drive.google.com/file/d/1kTI85R19RyqIjWSwFXbjY6txuIBQOvVw/view?usp=sharing,https://the-atlas.com/admin/affiliations/135/edit
1487,"City of Franklin, TN",,https://the-atlas.com/admin/affiliations/1487/edit
1655,"City of Fraser, Michigan",,https://the-atlas.com/admin/affiliations/1655/edit
1030,"City of Freeport, IL",,https://the-atlas.com/admin/affiliations/1030/edit
1707,"City of Freeport, NY",,https://the-atlas.com/admin/affiliations/1707/edit
1477,"City of Frisco, TX",,https://the-atlas.com/admin/affiliations/1477/edit
476,"City of Gadsden, AL",,https://the-atlas.com/admin/affiliations/476/edit
1031,"City of Gainesville, GA",,https://the-atlas.com/admin/affiliations/1031/edit
477,City of Gaithersburg (MD),,https://the-atlas.com/admin/affiliations/477/edit
478,"City of Gallup, NM",,https://the-atlas.com/admin/affiliations/478/edit
479,"City of Galveston, TX",,https://the-atlas.com/admin/affiliations/479/edit
1032,"City of Garden City, GA",,https://the-atlas.com/admin/affiliations/1032/edit
480,"City of Garland, TX",,https://the-atlas.com/admin/affiliations/480/edit
263,"City of Gary, IN",,https://the-atlas.com/admin/affiliations/263/edit
,,,
1033,"City of Geneseo, IL",,https://the-atlas.com/admin/affiliations/1033/edit
362,"City of Georgetown, TX",,https://the-atlas.com/admin/affiliations/362/edit
1558,City of Germantown,,https://the-atlas.com/admin/affiliations/1558/edit
481,City of Glendale (AZ),,https://the-atlas.com/admin/affiliations/481/edit
1406,"City of Gloucester, MA",,https://the-atlas.com/admin/affiliations/1406/edit
482,"City of Golden, CO",,https://the-atlas.com/admin/affiliations/482/edit
1034,"City of Goldsboro, NC",,https://the-atlas.com/admin/affiliations/1034/edit
483,"City of Goodyear, AZ",,https://the-atlas.com/admin/affiliations/483/edit
484,"City of Grand Prairie, TX",,https://the-atlas.com/admin/affiliations/484/edit
,,,
485,City of Greeley (CO),,https://the-atlas.com/admin/affiliations/485/edit
486,"City of Green River, UT",,https://the-atlas.com/admin/affiliations/486/edit
1708,City of Greenbelt,,https://the-atlas.com/admin/affiliations/1708/edit
1035,"City of Greenville, NC",,https://the-atlas.com/admin/affiliations/1035/edit
913,"City of Gresham, OR",,https://the-atlas.com/admin/affiliations/913/edit
1036,"City of Gulf Shores, AL",,https://the-atlas.com/admin/affiliations/1036/edit
1936,"City of Gulfport, MS",,
1037,"City of Hackensack, NJ",,https://the-atlas.com/admin/affiliations/1037/edit
,,,
11,"City of Hampton, VA",,https://the-atlas.com/admin/affiliations/11/edit
1709,City of Hanford,,https://the-atlas.com/admin/affiliations/1709/edit
1819,"City of Harker Heights, TX",,https://the-atlas.com/admin/affiliations/1819/edit
1038,"City of Harrison, AR",,https://the-atlas.com/admin/affiliations/1038/edit
487,"City of Hays, KS",,https://the-atlas.com/admin/affiliations/487/edit
488,"City of Heber City, UT",,https://the-atlas.com/admin/affiliations/488/edit
489,"City of Henderson, NV",,https://the-atlas.com/admin/affiliations/489/edit
78,"City of Hermiston, OR",https://drive.google.com/file/d/1dXKfE30yHgqmvd-L5UFrRh1jw8zRuLyB/view?usp=sharing,https://the-atlas.com/admin/affiliations/78/edit
1710,City of Hickory,,https://the-atlas.com/admin/affiliations/1710/edit
1039,"City of Highland Park, IL",,https://the-atlas.com/admin/affiliations/1039/edit
490,"City of Hildale, UT",,https://the-atlas.com/admin/affiliations/490/edit
347,"City of Hillsboro, OR",,https://the-atlas.com/admin/affiliations/347/edit
264,"City of Hoboken, NJ",,https://the-atlas.com/admin/affiliations/264/edit
1417,"City of Hogansville, GA",,https://the-atlas.com/admin/affiliations/1417/edit
331,"City of Hollywood, FL",https://drive.google.com/file/d/1U77imT8bwsyqrLzFfxwmo6pahrembjBL/view?usp=sharing,https://the-atlas.com/admin/affiliations/331/edit
,,,
1040,"City of Hot Springs, AR",,https://the-atlas.com/admin/affiliations/1040/edit
61,"City of Houston, TX",https://drive.google.com/file/d/1v8DLF0xRebmm3RIuWOaY_K0uKuL_eOqq/view?usp=sharing,https://the-atlas.com/admin/affiliations/61/edit
1712,City of Huntington,,https://the-atlas.com/admin/affiliations/1712/edit
491,"City of Huntington Beach, CA",,https://the-atlas.com/admin/affiliations/491/edit
1713,City of Huntsville,,https://the-atlas.com/admin/affiliations/1713/edit
1041,"City of Huntsville, AL",,https://the-atlas.com/admin/affiliations/1041/edit
492,"City of Hurricane, UT",,https://the-atlas.com/admin/affiliations/492/edit
1042,"City of Hutchinson, KS",,https://the-atlas.com/admin/affiliations/1042/edit
493,"City of Hutto, TX",,https://the-atlas.com/admin/affiliations/493/edit
494,"City of Hyattsville, MD",,https://the-atlas.com/admin/affiliations/494/edit
495,"City of Hyde Park, UT",,https://the-atlas.com/admin/affiliations/495/edit
107,"City of Imperial Beach, CA",https://drive.google.com/file/d/1naCYSPziPrECShJ-kECvIi0Vu7Urgl_A/view?usp=sharing,https://the-atlas.com/admin/affiliations/107/edit
863,City of Indianapolis,https://drive.google.com/file/d/13N4_2qttpqSNXGR9jZRcat_PB3W8WtcW/view?usp=sharing,https://the-atlas.com/admin/affiliations/863/edit
21,"City of Iowa City, IA",,https://the-atlas.com/admin/affiliations/21/edit
95,"City of Irvine, CA",https://drive.google.com/file/d/1H9LGnZiMxa0Pm9no1sX3LSurlrqkGSJ8/view?usp=sharing,https://the-atlas.com/admin/affiliations/95/edit
1920,City of Ithaca,,https://the-atlas.com/admin/affiliations/1920/edit
877,"City of Jacksonville, FL",,https://the-atlas.com/admin/affiliations/877/edit
1043,"City of Jersey City, NJ",,https://the-atlas.com/admin/affiliations/1043/edit
1044,"City of Joliet, IL",,https://the-atlas.com/admin/affiliations/1044/edit
1714,City of Joplin,,https://the-atlas.com/admin/affiliations/1714/edit
1045,"City of Junction City, KS",,https://the-atlas.com/admin/affiliations/1045/edit
1715,City of Kalamazoo,,https://the-atlas.com/admin/affiliations/1715/edit
1716,City of Kannapolis,,https://the-atlas.com/admin/affiliations/1716/edit
711,"City of Kansas City, MO",https://drive.google.com/file/d/1a7JjqUCkRN2uZQqH_3t-WcffARGjS19D/view?usp=sharing,https://the-atlas.com/admin/affiliations/711/edit
496,"City of Kaysville, UT",,https://the-atlas.com/admin/affiliations/496/edit
1046,"City of Kennesaw, GA",,https://the-atlas.com/admin/affiliations/1046/edit
612,Liberty Utilities,,https://the-atlas.com/admin/affiliations/612/edit
497,"City of Kerrville, TX",,https://the-atlas.com/admin/affiliations/497/edit
22,"City of Key West, FL",,https://the-atlas.com/admin/affiliations/22/edit
1717,City of Kilgore,,https://the-atlas.com/admin/affiliations/1717/edit
498,"City of Killeen, TX",,https://the-atlas.com/admin/affiliations/498/edit
499,"City of Kingman, AZ",,https://the-atlas.com/admin/affiliations/499/edit
351,"city of kingsburg, CA",,https://the-atlas.com/admin/affiliations/351/edit
1718,City of Kingston,,https://the-atlas.com/admin/affiliations/1718/edit
500,"City of Kingsville, TX",,https://the-atlas.com/admin/affiliations/500/edit
1719,City of Kinston,,https://the-atlas.com/admin/affiliations/1719/edit
1047,"City of Kinston, NC",,https://the-atlas.com/admin/affiliations/1047/edit
914,"City of Kitchener,  ON CAN",,https://the-atlas.com/admin/affiliations/914/edit
345,"City of La Mesa, CA",https://drive.google.com/file/d/132XehRV9sZS4v8TwOSEPR6G1N3xNA5RX/view?usp=sharing,https://the-atlas.com/admin/affiliations/345/edit
1660,City of La Porte,,https://the-atlas.com/admin/affiliations/1660/edit
501,City of Lacey (WA),,https://the-atlas.com/admin/affiliations/501/edit
629,New Braunfels Utilities,,https://the-atlas.com/admin/affiliations/629/edit
502,"City of Lago Vista, TX",,https://the-atlas.com/admin/affiliations/502/edit
1048,"City of Lagrange, GA",,https://the-atlas.com/admin/affiliations/1048/edit
1049,"City of Lake Forest, IL",,https://the-atlas.com/admin/affiliations/1049/edit
634,Riverside Public Utilities,,https://the-atlas.com/admin/affiliations/634/edit
1720,"City of Lakeport, CA",,https://the-atlas.com/admin/affiliations/1720/edit
503,City of Lancaster (PA),,https://the-atlas.com/admin/affiliations/503/edit
1050,"City of Lansing, MI",,https://the-atlas.com/admin/affiliations/1050/edit
504,"City of Laramie, WY",,https://the-atlas.com/admin/affiliations/504/edit
1484,"City of Largo, CA",,https://the-atlas.com/admin/affiliations/1484/edit
505,"City of Las Cruces, NM",,https://the-atlas.com/admin/affiliations/505/edit
259,"City of Las Vegas, NV",,https://the-atlas.com/admin/affiliations/259/edit
1721,City of Laurel,,https://the-atlas.com/admin/affiliations/1721/edit
1051,"City of Lawrence, KS",,https://the-atlas.com/admin/affiliations/1051/edit
1052,"City of Leavenworth, KS",,https://the-atlas.com/admin/affiliations/1052/edit
1838,City of Lebanon Missouri,,https://the-atlas.com/admin/affiliations/1838/edit
646,"State of Utah, Department of Environmental Quality",,https://the-atlas.com/admin/affiliations/646/edit
647,Suburban Water Systems,,https://the-atlas.com/admin/affiliations/647/edit
1722,City of Lees Summit,,https://the-atlas.com/admin/affiliations/1722/edit
506,"City of Lehi, UT",,https://the-atlas.com/admin/affiliations/506/edit
1723,City of Lewisville,,https://the-atlas.com/admin/affiliations/1723/edit
1724,City of Lexington,,https://the-atlas.com/admin/affiliations/1724/edit
105,"City of Lima, OH",https://drive.google.com/file/d/1q-U5UYdCE5rbypaQ2HsgnvjM1P_-ecyb/view?usp=sharing,https://the-atlas.com/admin/affiliations/105/edit
507,"City of Lincoln, NE",,https://the-atlas.com/admin/affiliations/507/edit
715,"City of Little Rock, AR",,https://the-atlas.com/admin/affiliations/715/edit
508,City of Littleton,https://drive.google.com/file/d/1r0fI98gvfkIxm1AH9YJGlu50ajvzx1-R/view?usp=sharing,https://the-atlas.com/admin/affiliations/508/edit
509,"City of Livermore, CA",,https://the-atlas.com/admin/affiliations/509/edit
1053,"City of Livonia, MI",,https://the-atlas.com/admin/affiliations/1053/edit
510,"City of Logan, UT",,https://the-atlas.com/admin/affiliations/510/edit
104,"City of Lompoc, CA",,https://the-atlas.com/admin/affiliations/104/edit
511,"City of Long Beach, CA",,https://the-atlas.com/admin/affiliations/511/edit
512,"City of Longmont, CO",,https://the-atlas.com/admin/affiliations/512/edit
269,"City of Los Angeles, CA",https://drive.google.com/file/d/1_RWNd0ZJVYySJIuELBUWVJQeqpEfEuX1/view?usp=sharing,https://the-atlas.com/admin/affiliations/269/edit
513,"City of Louisville, KY",,https://the-atlas.com/admin/affiliations/513/edit
514,"City of Loveland, CO",,https://the-atlas.com/admin/affiliations/514/edit
1541,"City of Lubbock, TX",,https://the-atlas.com/admin/affiliations/1541/edit
1577,City of Macomb,,https://the-atlas.com/admin/affiliations/1577/edit
1725,City of Madera,,https://the-atlas.com/admin/affiliations/1725/edit
1726,"City of Madison, WI",,https://the-atlas.com/admin/affiliations/1726/edit
515,"City of Manhattan Beach, CA",,https://the-atlas.com/admin/affiliations/515/edit
1054,"City of Manhattan, KS",,https://the-atlas.com/admin/affiliations/1054/edit
1727,"City of Manitou Springs, CO",,https://the-atlas.com/admin/affiliations/1727/edit
,,,
1935,City of Manter KS,,
852,"City of Maple Grove, MN",,https://the-atlas.com/admin/affiliations/852/edit
516,"City of Maricopa, AZ",,https://the-atlas.com/admin/affiliations/516/edit
,,,
679,Water Policy Advisory Committee,,https://the-atlas.com/admin/affiliations/679/edit
680,Water Resources Advisory Board,,https://the-atlas.com/admin/affiliations/680/edit
1056,"City of Marion, IA",,https://the-atlas.com/admin/affiliations/1056/edit
1057,"City of Marion, IL",,https://the-atlas.com/admin/affiliations/1057/edit
1058,"City of Martinsville, VA",,https://the-atlas.com/admin/affiliations/1058/edit
1059,"City of Mattoon, Illinois",,https://the-atlas.com/admin/affiliations/1059/edit
685,Valley Water,,https://the-atlas.com/admin/affiliations/685/edit
693,Moscow,,https://the-atlas.com/admin/affiliations/693/edit
699,Birmingham,,https://the-atlas.com/admin/affiliations/699/edit
1060,"City of McDonough, GA",,https://the-atlas.com/admin/affiliations/1060/edit
1061,"City of McHenry, IL",,https://the-atlas.com/admin/affiliations/1061/edit
1062,"City of Medford, OR",,https://the-atlas.com/admin/affiliations/1062/edit
827,City of Memphis Housing and Community Development,,https://the-atlas.com/admin/affiliations/827/edit
,,,
835,"City of Menlo Park, CA",,https://the-atlas.com/admin/affiliations/835/edit
1063,"City of Meriden, CT",,https://the-atlas.com/admin/affiliations/1063/edit
1064,"City of Meridian, MS",,https://the-atlas.com/admin/affiliations/1064/edit
718,"Smart Cities Mission, Ministry of Housing & Urban Affairs, Govt. of India",,https://the-atlas.com/admin/affiliations/718/edit
517,"City of Mesa, AZ",,https://the-atlas.com/admin/affiliations/517/edit
518,"City of Mesquite, NV",,https://the-atlas.com/admin/affiliations/518/edit
1728,City of Methuen,,https://the-atlas.com/admin/affiliations/1728/edit
7,"City of Miami Beach, FL",,https://the-atlas.com/admin/affiliations/7/edit
267,"City of Miami, FL",,https://the-atlas.com/admin/affiliations/267/edit
,,,
519,"City of Midvale, UT",,https://the-atlas.com/admin/affiliations/519/edit
849,"City of Midwest City, OK",,https://the-atlas.com/admin/affiliations/849/edit
1066,"City of Milford, CT",,https://the-atlas.com/admin/affiliations/1066/edit
,,,
731,San Diego Community College District,,https://the-atlas.com/admin/affiliations/731/edit
732,San Diego Convention Center,,https://the-atlas.com/admin/affiliations/732/edit
520,"City of Millbrae, CA",,https://the-atlas.com/admin/affiliations/520/edit
735,San Diego Regional Airport Authority,,https://the-atlas.com/admin/affiliations/735/edit
737,SANDAG,,https://the-atlas.com/admin/affiliations/737/edit
521,"City of Minnetonka, MN",,https://the-atlas.com/admin/affiliations/521/edit
742,League of CA Cities,,https://the-atlas.com/admin/affiliations/742/edit
522,City of Mission (KS),,https://the-atlas.com/admin/affiliations/522/edit
523,"City of Moab, UT",,https://the-atlas.com/admin/affiliations/523/edit
46,"City of Mobile, AL",,https://the-atlas.com/admin/affiliations/46/edit
1067,"City of Moline, IL",,https://the-atlas.com/admin/affiliations/1067/edit
1068,"City of Monroe, GA",,https://the-atlas.com/admin/affiliations/1068/edit
524,"City of Monterey Park, CA",,https://the-atlas.com/admin/affiliations/524/edit
763,Montgomery County Government,,https://the-atlas.com/admin/affiliations/763/edit
,,,
,,,
525,"City of Mountain View, CA",,https://the-atlas.com/admin/affiliations/525/edit
870,"City of Myrtle Beach, SC",,https://the-atlas.com/admin/affiliations/870/edit
851,"City of Napa, CA",,https://the-atlas.com/admin/affiliations/851/edit
